92,138,96,142|CUATRO CAMINOS
130,138,134,142|PANTEONES
170,138,174,142|TACUBA
200,150,204,154|CUITLAHUAC
225,168,229,172|POPOTLA
245,188,249,192|COLEGIO MILITAR
275,203,279,207|NORMAL
303,213,307,217|SAN COSME
328,220,332,224|REVOLUCION
360,225,364,229|HIDALGO
388,229,392,233|BELLAS ARTES
413,232,417,236|ALLENDE
438,235,442,239|ZOCALO
436,268,440,272|PINO SUAREZ
435,303,439,307|SAN ANTONIO ABAD
435,333,439,337|CHABACANO
433,358,437,362|VIADUCTO
432,378,436,382|XOLA
431,398,435,402|VILLA DE CORTES
430,418,434,422|NATIVITAS
429,438,433,442|PORTALES
428,458,432,462|ERMITA
418,478,422,482|GENERAL ANAYA
426,498,430,502|TASQUENA

149,22,153,26|EL ROSARIO
151,48,155,52|AQUILES SERDAN
166,78,170,82|CAMARONES
170,108,174,112|REFINERIA
166,188,170,192|SAN JOAQUIN
170,228,174,232|POLANCO
166,253,170,257|AUDITORIO
170,303,174,307|CONSTITUYENTES
178,328,182,332|TACUBAYA
175,358,179,362|SAN PEDRO
173,378,177,382|SAN ANTONIO
170,408,174,412|MIXCOAC
169,442,173,446|BARRANCA DEL MUERTO

162,43,166,47|TEZOZOMOC
177,58,181,62|AZCAPOTZALCO
225,53,229,57|FERRERIA
298,58,302,62|NORTE 45
323,53,327,57|VALLEJO
364,56,368,60|INSTITUTO DEL PETROLEO
433,60,437,64|LINDAVISTA
456,65,460,69|DEPORTIVO 18 DE MARZO
479,69,483,73|LA VILLA
526,62,530,66|MARTIN CARRERA

515,98,519,102|TALISMAN
506,128,510,132|BONDOJITO
499,163,503,167|CONSULADO
491,183,495,187|CANAL DEL NORTE
483,217,487,221|MORELOS
482,261,486,265|CANDELARIA
475,283,479,287|FRAY SERVANDO
471,331,475,335|JAMAICA
471,344,475,348|SANTA ANITA

210,320,214,324|PATRIOTISMO
261,318,265,322|CHILPANCINGO
333,323,335,327|CENTRO MEDICO
383,328,387,332|LAZARO CARDENAS
499,336,503,340|MIXIUHCA
538,328,542,332|VELODROMO
563,323,567,327|CIUDAD DEPORTIVA
591,328,595,332|PUEBLA
606,298,610,302|PANTITLAN

143,338,147,342|OBSERVATORIO
208,308,212,312|JUANACATLAN
233,291,237,295|CHAPULTEPEC
253,288,257,292|SEVILLA
283,278,287,282|INSURGENTES
323,268,327,272|CUAUHTEMOC
343,263,347,267|BALDERAS
374,265,378,269|SALTO DEL AGUA
405,267,409,271|ISABEL LA CATOLICA
459,264,463,268|MERCED
482,261,486,265|CANDELARIA
497,248,501,252|SAN LAZARO
515,260,519,264|MOCTEZUMA
533,272,537,276|BALBUENA
551,284,555,288|BOULEVARD PUERTO AEREO
569,298,573,302|GOMEZ FARIAS
587,308,591,312|ZARAGOZA

575,272,579,276|HANGARES
567,235,571,239|TERMINAL AEREA
561,196,565,200|OCEANIA
541,183,545,187|ARAGON
518,172,522,176|EDUARDO MOLINA
482,145,486,149|VALLE GOMEZ
443,125,447,129|MISTERIOS
416,108,420,112|LA RAZA
391,81,395,85|AUTOBUSES DEL NORTE
348,20,352,24|POLITECNICO

469,41,473,45|INDIOS VERDES
445,84,449,88|POTRERO
368,158,372,162|TLATELOLCO
363,198,367,202|GUERRERO
349,243,353,247|JUAREZ
344,287,348,291|NINOS HEROES
338,310,342,314|HOSPITAL GENERAL
327,348,331,352|ETIOPIA
320,370,324,374|EUGENIA
312,398,316,402|DIVISION DEL NORTE
278,418,282,422|ZAPATA
238,458,242,462|COYOACAN
218,478,222,482|VIVEROS
201,496,205,500|MIGUEL ANGEL DE QUEVEDO
210,521,214,525|COPILCO
218,546,222,550|UNIVERSIDAD

390,195,394,199|GARIBALDI
383,250,387,254|SAN JUAN DE LETRAN
386,293,390,297|DOCTORES
403,310,407,314|OBRERA
453,343,457,347|LA VIGA
502,373,506,377|COYUYA
513,408,517,412|IZTACALCO
523,438,527,442|APATLACO
533,463,537,467|ACULCO
526,488,530,492|ESCUADRON 201
548,518,552,522|ATLALILCO
588,508,592,512|IZTAPALAPA
613,523,617,527|CERRO DE LA ESTRELLA
643,543,647,547|U.A.M I
690,566,694,570|CONSTITUCION DE 1917
